DRG,ICD,OPS
802C,M18.1,5-044.4
802C,M18.1,5-388.2x
802C,M18.1,5-388.23
802A,M18.1,5-388.24
802C,M18.1,5-399.2
802C,M18.1,5-901.18
801E,M18.1,5-045.4
801E,M18.1,5-389.2x
801D,M18.1,5-781.9a
801D,M18.1,5-901.19
801D,M18.1,5-388.22
801D,M18.1,5-901.17
802C,M18.1,5-915.49
801D,S63.3,5-903.79
801D,S63.3,5-903.69
801D,S63.3,5-903.99
802C,S63.3,5-044.4
802C,S63.3,5-388.2x
801D,S63.3,5-903.59
802C,S63.3,5-388.23
802A,S63.3,5-388.24
802C,S63.3,5-399.2
801D,S63.3,5-905.19
802C,S63.3,5-901.18
801D,S63.3,5-902.49
802A,S63.3,5-916.79
801E,S63.3,5-045.4
801D,S63.3,5-903.b9
801E,S63.3,5-389.2x
801D,S63.3,5-781.9a
801D,S63.3,5-901.19
801D,S63.3,5-388.22
801D,S63.3,5-901.17
802C,S63.3,5-915.49
802C,S63.3,5-903.x9
802D,S63.3,5-907.29
801D,S63.3,5-907.59
801D,S63.3,5-909.29
801D,M15.2,5-903.79
801D,M15.2,5-903.69
801D,M15.2,5-903.99
802C,M15.2,5-044.4
802C,M15.2,5-388.2x
801D,M15.2,5-903.59
802C,M15.2,5-388.23
802A,M15.2,5-388.24
802C,M15.2,5-399.2
801D,M15.2,5-905.19
802C,M15.2,5-901.18
801D,M15.2,5-902.49
802A,M15.2,5-916.79
801E,M15.2,5-045.4
801D,M15.2,5-903.b9
801E,M15.2,5-389.2x
801D,M15.2,5-781.9a
801D,M15.2,5-901.19
801D,M15.2,5-388.22
801D,M15.2,5-901.17
802C,M15.2,5-915.49
802C,M15.2,5-903.x9
802D,M15.2,5-907.29
801D,M15.2,5-907.59
801D,M15.2,5-909.29
801D,M19.13,5-903.79
801D,M19.13,5-903.69
801D,M19.13,5-903.99
802C,M19.13,5-044.4
802C,M19.13,5-388.2x
801D,M19.13,5-903.59
802C,M19.13,5-388.23
802A,M19.13,5-388.24
802C,M19.13,5-399.2
801D,M19.13,5-905.19
802C,M19.13,5-901.18
801D,M19.13,5-902.49
802A,M19.13,5-916.79
801E,M19.13,5-045.4
801D,M19.13,5-903.b9
801E,M19.13,5-389.2x
801D,M19.13,5-781.9a
801D,M19.13,5-901.19
801D,M19.13,5-388.22
801D,M19.13,5-901.17
802C,M19.13,5-915.49
802C,M19.13,5-903.x9
802D,M19.13,5-907.29
801D,M19.13,5-907.59
801D,M19.13,5-909.29
801D,S66.1,5-903.79
801D,S66.1,5-903.69
801D,S66.1,5-903.99
802C,S66.1,5-044.4
802C,S66.1,5-388.2x
801D,S66.1,5-903.59
802C,S66.1,5-388.23
802A,S66.1,5-388.24
802C,S66.1,5-399.2
801D,S66.1,5-905.19
802C,S66.1,5-901.18
801D,S66.1,5-902.49
802A,S66.1,5-916.79
801E,S66.1,5-045.4
801D,S66.1,5-903.b9
801E,S66.1,5-389.2x
801D,S66.1,5-781.9a
801D,S66.1,5-901.19
801D,S66.1,5-388.22
801D,S66.1,5-901.17
802C,S66.1,5-915.49
802C,S66.1,5-903.x9
802D,S66.1,5-907.29
801D,S66.1,5-907.59
801D,S66.1,5-909.29
801D,M19.04,5-903.79
801D,M19.04,5-903.69
801D,M19.04,5-903.99
802C,M19.04,5-044.4
802C,M19.04,5-388.2x
801D,M19.04,5-903.59
802C,M19.04,5-388.23
802A,M19.04,5-388.24
802C,M19.04,5-399.2
801D,M19.04,5-905.19
802C,M19.04,5-901.18
801D,M19.04,5-902.49
802A,M19.04,5-916.79
801E,M19.04,5-045.4
801D,M19.04,5-903.b9
801E,M19.04,5-389.2x
801D,M19.04,5-781.9a
801D,M19.04,5-901.19
801D,M19.04,5-388.22
801D,M19.04,5-901.17
802C,M19.04,5-915.49
802C,M19.04,5-903.x9
802D,M19.04,5-907.29
801D,M19.04,5-907.59
801D,M19.04,5-909.29
801D,S66.3,5-903.79
801D,S66.3,5-903.69
801D,S66.3,5-903.99
802C,S66.3,5-044.4
802C,S66.3,5-388.2x
801D,S66.3,5-903.59
802C,S66.3,5-388.23
802A,S66.3,5-388.24
802C,S66.3,5-399.2
801D,S66.3,5-905.19
802C,S66.3,5-901.18
801D,S66.3,5-902.49
802A,S66.3,5-916.79
801E,S66.3,5-045.4
801D,S66.3,5-903.b9
801E,S66.3,5-389.2x
801D,S66.3,5-781.9a
801D,S66.3,5-901.19
801D,S66.3,5-388.22
801D,S66.3,5-901.17
802C,S66.3,5-915.49
802C,S66.3,5-903.x9
802D,S66.3,5-907.29
801D,S66.3,5-907.59
801D,S66.3,5-909.29
802C,S62.63,5-044.4
802C,S62.63,5-388.2x
802C,S62.63,5-388.23
802A,S62.63,5-388.24
802C,S62.63,5-399.2
802C,S62.63,5-901.18
801E,S62.63,5-045.4
801E,S62.63,5-389.2x
801D,S62.63,5-781.9a
801D,S62.63,5-901.19
801D,S62.63,5-388.22
801D,S62.63,5-901.17
802C,S62.63,5-915.49
801D,M84.24,5-903.79
801D,M84.24,5-903.69
801D,M84.24,5-903.99
802C,M84.24,5-044.4
802C,M84.24,5-388.2x
801D,M84.24,5-903.59
802C,M84.24,5-388.23
802A,M84.24,5-388.24
802C,M84.24,5-399.2
801D,M84.24,5-905.19
802C,M84.24,5-901.18
801D,M84.24,5-902.49
802A,M84.24,5-916.79
801E,M84.24,5-045.4
801D,M84.24,5-903.b9
801E,M84.24,5-389.2x
801D,M84.24,5-781.9a
801D,M84.24,5-901.19
801D,M84.24,5-388.22
801D,M84.24,5-901.17
802C,M84.24,5-915.49
802C,M84.24,5-903.x9
802D,M84.24,5-907.29
801D,M84.24,5-907.59
801D,M84.24,5-909.29
802C,S62.31,5-044.4
802C,S62.31,5-388.2x
802C,S62.31,5-388.23
802A,S62.31,5-388.24
802C,S62.31,5-399.2
802C,S62.31,5-901.18
801E,S62.31,5-045.4
801E,S62.31,5-389.2x
801D,S62.31,5-781.9a
801D,S62.31,5-901.19
801D,S62.31,5-388.22
801D,S62.31,5-901.17
802C,S62.31,5-915.49
801D,M19.23,5-903.79
801D,M19.23,5-903.69
801D,M19.23,5-903.99
802C,M19.23,5-044.4
802C,M19.23,5-388.2x
801D,M19.23,5-903.59
802C,M19.23,5-388.23
802A,M19.23,5-388.24
802C,M19.23,5-399.2
801D,M19.23,5-905.19
802C,M19.23,5-901.18
801D,M19.23,5-902.49
802A,M19.23,5-916.79
801E,M19.23,5-045.4
801D,M19.23,5-903.b9
801E,M19.23,5-389.2x
801D,M19.23,5-781.9a
801D,M19.23,5-901.19
801D,M19.23,5-388.22
801D,M19.23,5-901.17
802C,M19.23,5-915.49
802C,M19.23,5-903.x9
802D,M19.23,5-907.29
801D,M19.23,5-907.59
801D,M19.23,5-909.29
802C,S62.62,5-044.4
802C,S62.62,5-388.2x
802C,S62.62,5-388.23
802A,S62.62,5-388.24
802C,S62.62,5-399.2
802C,S62.62,5-901.18
801E,S62.62,5-045.4
801E,S62.62,5-389.2x
801D,S62.62,5-781.9a
801D,S62.62,5-901.19
801D,S62.62,5-388.22
801D,S62.62,5-901.17
802C,S62.62,5-915.49
802C,S62.61,5-044.4
802C,S62.61,5-388.2x
802C,S62.61,5-388.23
802A,S62.61,5-388.24
802C,S62.61,5-399.2
802C,S62.61,5-901.18
801E,S62.61,5-045.4
801E,S62.61,5-389.2x
801D,S62.61,5-781.9a
801D,S62.61,5-901.19
801D,S62.61,5-388.22
801D,S62.61,5-901.17
802C,S62.61,5-915.49
801D,S62.0,5-903.79
801D,S62.0,5-903.69
801D,S62.0,5-903.99
802C,S62.0,5-044.4
802C,S62.0,5-388.2x
801D,S62.0,5-903.59
802C,S62.0,5-388.23
802A,S62.0,5-388.24
802C,S62.0,5-399.2
801D,S62.0,5-905.19
802C,S62.0,5-901.18
801D,S62.0,5-902.49
802A,S62.0,5-916.79
801E,S62.0,5-045.4
801D,S62.0,5-903.b9
801E,S62.0,5-389.2x
801D,S62.0,5-781.9a
801D,S62.0,5-901.19
801D,S62.0,5-388.22
801D,S62.0,5-901.17
802C,S62.0,5-915.49
802C,S62.0,5-903.x9
802D,S62.0,5-907.29
801D,S62.0,5-907.59
801D,S62.0,5-909.29
802C,S62.32,5-044.4
802C,S62.32,5-388.2x
802C,S62.32,5-388.23
802A,S62.32,5-388.24
802C,S62.32,5-399.2
802C,S62.32,5-901.18
801E,S62.32,5-045.4
801E,S62.32,5-389.2x
801D,S62.32,5-781.9a
801D,S62.32,5-901.19
801D,S62.32,5-388.22
801D,S62.32,5-901.17
802C,S62.32,5-915.49
801D,M19.14,5-903.79
801D,M19.14,5-903.69
801D,M19.14,5-903.99
802C,M19.14,5-044.4
802C,M19.14,5-388.2x
801D,M19.14,5-903.59
802C,M19.14,5-388.23
802A,M19.14,5-388.24
802C,M19.14,5-399.2
801D,M19.14,5-905.19
802C,M19.14,5-901.18
801D,M19.14,5-902.49
802A,M19.14,5-916.79
801E,M19.14,5-045.4
801D,M19.14,5-903.b9
801E,M19.14,5-389.2x
801D,M19.14,5-781.9a
801D,M19.14,5-901.19
801D,M19.14,5-388.22
801D,M19.14,5-901.17
802C,M19.14,5-915.49
802C,M19.14,5-903.x9
802D,M19.14,5-907.29
801D,M19.14,5-907.59
801D,M19.14,5-909.29
801D,M05.84,5-903.79
801D,M05.84,5-903.69
801D,M05.84,5-903.99
802C,M05.84,5-044.4
802C,M05.84,5-388.2x
801D,M05.84,5-903.59
802C,M05.84,5-388.23
802A,M05.84,5-388.24
802C,M05.84,5-399.2
801D,M05.84,5-905.19
802C,M05.84,5-901.18
801D,M05.84,5-902.49
802A,M05.84,5-916.79
801E,M05.84,5-045.4
801D,M05.84,5-903.b9
801E,M05.84,5-389.2x
801D,M05.84,5-781.9a
801D,M05.84,5-901.19
801D,M05.84,5-388.22
801D,M05.84,5-901.17
802C,M05.84,5-915.49
802C,M05.84,5-903.x9
802D,M05.84,5-907.29
801D,M05.84,5-907.59
801D,M05.84,5-909.29
801D,M93.1,5-903.79
801D,M93.1,5-903.69
801D,M93.1,5-903.99
802C,M93.1,5-044.4
802C,M93.1,5-388.2x
801D,M93.1,5-903.59
802C,M93.1,5-388.23
802A,M93.1,5-388.24
802C,M93.1,5-399.2
801D,M93.1,5-905.19
802C,M93.1,5-901.18
801D,M93.1,5-902.49
802A,M93.1,5-916.79
801E,M93.1,5-045.4
801D,M93.1,5-903.b9
801E,M93.1,5-389.2x
801D,M93.1,5-781.9a
801D,M93.1,5-901.19
801D,M93.1,5-388.22
801D,M93.1,5-901.17
802C,M93.1,5-915.49
802C,M93.1,5-903.x9
802D,M93.1,5-907.29
801D,M93.1,5-907.59
801D,M93.1,5-909.29
802C,M18.9,5-044.4
802C,M18.9,5-388.2x
802C,M18.9,5-388.23
802A,M18.9,5-388.24
802C,M18.9,5-399.2
802C,M18.9,5-901.18
801E,M18.9,5-045.4
801E,M18.9,5-389.2x
801D,M18.9,5-781.9a
801D,M18.9,5-901.19
801D,M18.9,5-388.22
801D,M18.9,5-901.17
802C,M18.9,5-915.49
801D,M19.03,5-903.79
801D,M19.03,5-903.69
801D,M19.03,5-903.99
802C,M19.03,5-044.4
802C,M19.03,5-388.2x
801D,M19.03,5-903.59
802C,M19.03,5-388.23
802A,M19.03,5-388.24
802C,M19.03,5-399.2
801D,M19.03,5-905.19
802C,M19.03,5-901.18
801D,M19.03,5-902.49
802A,M19.03,5-916.79
801E,M19.03,5-045.4
801D,M19.03,5-903.b9
801E,M19.03,5-389.2x
801D,M19.03,5-781.9a
801D,M19.03,5-901.19
801D,M19.03,5-388.22
801D,M19.03,5-901.17
802C,M19.03,5-915.49
802C,M19.03,5-903.x9
802D,M19.03,5-907.29
801D,M19.03,5-907.59
801D,M19.03,5-909.29
802C,Q68.1,5-044.4
802C,Q68.1,5-388.2x
802C,Q68.1,5-388.23
802A,Q68.1,5-388.24
802C,Q68.1,5-399.2
802C,Q68.1,5-901.18
801E,Q68.1,5-045.4
801E,Q68.1,5-389.2x
801D,Q68.1,5-781.9a
801D,Q68.1,5-901.19
801D,Q68.1,5-388.22
801D,Q68.1,5-901.17
802C,Q68.1,5-915.49
802C,M20.0,5-044.4
802C,M20.0,5-388.2x
802C,M20.0,5-388.23
802A,M20.0,5-388.24
802C,M20.0,5-399.2
802C,M20.0,5-901.18
801E,M20.0,5-045.4
801E,M20.0,5-389.2x
801D,M20.0,5-781.9a
801D,M20.0,5-901.19
801D,M20.0,5-388.22
801D,M20.0,5-901.17
802C,M20.0,5-915.49
802C,M66.34,5-044.4
802C,M66.34,5-388.2x
802C,M66.34,5-388.23
802A,M66.34,5-388.24
802C,M66.34,5-399.2
802C,M66.34,5-901.18
801E,M66.34,5-045.4
801E,M66.34,5-389.2x
801D,M66.34,5-781.9a
801D,M66.34,5-901.19
801D,M66.34,5-388.22
801D,M66.34,5-901.17
802C,M66.34,5-915.49
801D,S66.0,5-903.79
801D,S66.0,5-903.69
801D,S66.0,5-903.99
802C,S66.0,5-044.4
802C,S66.0,5-388.2x
801D,S66.0,5-903.59
802C,S66.0,5-388.23
802A,S66.0,5-388.24
802C,S66.0,5-399.2
801D,S66.0,5-905.19
802C,S66.0,5-901.18
801D,S66.0,5-902.49
802A,S66.0,5-916.79
801E,S66.0,5-045.4
801D,S66.0,5-903.b9
801E,S66.0,5-389.2x
801D,S66.0,5-781.9a
801D,S66.0,5-901.19
801D,S66.0,5-388.22
801D,S66.0,5-901.17
802C,S66.0,5-915.49
802C,S66.0,5-903.x9
802D,S66.0,5-907.29
801D,S66.0,5-907.59
801D,S66.0,5-909.29
801D,M65.14,5-903.79
801D,M65.14,5-903.69
801D,M65.14,5-903.99
802C,M65.14,5-044.4
802C,M65.14,5-388.2x
801D,M65.14,5-903.59
802C,M65.14,5-388.23
802A,M65.14,5-388.24
802C,M65.14,5-399.2
801D,M65.14,5-905.19
802C,M65.14,5-901.18
801D,M65.14,5-902.49
802A,M65.14,5-916.79
801E,M65.14,5-045.4
801D,M65.14,5-903.b9
801E,M65.14,5-389.2x
801D,M65.14,5-781.9a
801D,M65.14,5-901.19
801D,M65.14,5-388.22
801D,M65.14,5-901.17
802C,M65.14,5-915.49
802C,M65.14,5-903.x9
802D,M65.14,5-907.29
801D,M65.14,5-907.59
801D,M65.14,5-909.29
802C,M86.14,5-044.4
802C,M86.14,5-388.2x
802C,M86.14,5-388.23
802A,M86.14,5-388.24
802C,M86.14,5-399.2
802C,M86.14,5-901.18
801E,M86.14,5-045.4
801E,M86.14,5-389.2x
801D,M86.14,5-781.9a
801D,M86.14,5-901.19
801D,M86.14,5-388.22
801D,M86.14,5-901.17
802C,M86.14,5-915.49
801D,M84.04,5-903.79
801D,M84.04,5-903.69
801D,M84.04,5-903.99
802C,M84.04,5-044.4
802C,M84.04,5-388.2x
801D,M84.04,5-903.59
802C,M84.04,5-388.23
802A,M84.04,5-388.24
802C,M84.04,5-399.2
801D,M84.04,5-905.19
802C,M84.04,5-901.18
801D,M84.04,5-902.49
802A,M84.04,5-916.79
801E,M84.04,5-045.4
801D,M84.04,5-903.b9
801E,M84.04,5-389.2x
801D,M84.04,5-781.9a
801D,M84.04,5-901.19
801D,M84.04,5-388.22
801D,M84.04,5-901.17
802C,M84.04,5-915.49
802C,M84.04,5-903.x9
802D,M84.04,5-907.29
801D,M84.04,5-907.59
801D,M84.04,5-909.29
802C,M86.64,5-044.4
802C,M86.64,5-388.2x
802C,M86.64,5-388.23
802A,M86.64,5-388.24
802C,M86.64,5-399.2
802C,M86.64,5-901.18
801E,M86.64,5-045.4
801E,M86.64,5-389.2x
801D,M86.64,5-781.9a
801D,M86.64,5-901.19
801D,M86.64,5-388.22
801D,M86.64,5-901.17
802C,M86.64,5-915.49
801D,S62.17,5-903.79
801D,S62.17,5-903.69
801D,S62.17,5-903.99
802C,S62.17,5-044.4
802C,S62.17,5-388.2x
801D,S62.17,5-903.59
802C,S62.17,5-388.23
802A,S62.17,5-388.24
802C,S62.17,5-399.2
801D,S62.17,5-905.19
802C,S62.17,5-901.18
801D,S62.17,5-902.49
802A,S62.17,5-916.79
801E,S62.17,5-045.4
801D,S62.17,5-903.b9
801E,S62.17,5-389.2x
801D,S62.17,5-781.9a
801D,S62.17,5-901.19
801D,S62.17,5-388.22
801D,S62.17,5-901.17
802C,S62.17,5-915.49
802C,S62.17,5-903.x9
802D,S62.17,5-907.29
801D,S62.17,5-907.59
801D,S62.17,5-909.29
801D,M19.24,5-903.79
801D,M19.24,5-903.69
801D,M19.24,5-903.99
802C,M19.24,5-044.4
802C,M19.24,5-388.2x
801D,M19.24,5-903.59
802C,M19.24,5-388.23
802A,M19.24,5-388.24
802C,M19.24,5-399.2
801D,M19.24,5-905.19
802C,M19.24,5-901.18
801D,M19.24,5-902.49
802A,M19.24,5-916.79
801E,M19.24,5-045.4
801D,M19.24,5-903.b9
801E,M19.24,5-389.2x
801D,M19.24,5-781.9a
801D,M19.24,5-901.19
801D,M19.24,5-388.22
801D,M19.24,5-901.17
802C,M19.24,5-915.49
802C,M19.24,5-903.x9
802D,M19.24,5-907.29
801D,M19.24,5-907.59
801D,M19.24,5-909.29
802C,M00.94,5-044.4
802C,M00.94,5-388.2x
802C,M00.94,5-388.23
802A,M00.94,5-388.24
802C,M00.94,5-399.2
802C,M00.94,5-901.18
801E,M00.94,5-045.4
801E,M00.94,5-389.2x
801D,M00.94,5-781.9a
801D,M00.94,5-901.19
801D,M00.94,5-388.22
801D,M00.94,5-901.17
802C,M00.94,5-915.49
801D,M96.0,5-903.79
801D,M96.0,5-903.69
801D,M96.0,5-903.99
802C,M96.0,5-044.4
802C,M96.0,5-388.2x
801D,M96.0,5-903.59
802C,M96.0,5-388.23
802A,M96.0,5-388.24
802C,M96.0,5-399.2
801D,M96.0,5-905.19
802C,M96.0,5-901.18
801D,M96.0,5-902.49
802A,M96.0,5-916.79
801E,M96.0,5-045.4
801D,M96.0,5-903.b9
801E,M96.0,5-389.2x
801D,M96.0,5-781.9a
801D,M96.0,5-901.19
801D,M96.0,5-388.22
801D,M96.0,5-901.17
802C,M96.0,5-915.49
802C,M96.0,5-903.x9
802D,M96.0,5-907.29
801D,M96.0,5-907.59
801D,M96.0,5-909.29
802C,S62.33,5-044.4
802C,S62.33,5-388.2x
802C,S62.33,5-388.23
802A,S62.33,5-388.24
802C,S62.33,5-399.2
802C,S62.33,5-901.18
801E,S62.33,5-045.4
801E,S62.33,5-389.2x
801D,S62.33,5-781.9a
801D,S62.33,5-901.19
801D,S62.33,5-388.22
801D,S62.33,5-901.17
802C,S62.33,5-915.49
802C,S62.51,5-044.4
802C,S62.51,5-388.2x
802C,S62.51,5-388.23
802A,S62.51,5-388.24
802C,S62.51,5-399.2
802C,S62.51,5-901.18
801E,S62.51,5-045.4
801E,S62.51,5-389.2x
801D,S62.51,5-781.9a
801D,S62.51,5-901.19
801D,S62.51,5-388.22
801D,S62.51,5-901.17
802C,S62.51,5-915.49
802C,M00.04,5-044.4
802C,M00.04,5-388.2x
802C,M00.04,5-388.23
802A,M00.04,5-388.24
802C,M00.04,5-399.2
802C,M00.04,5-901.18
801E,M00.04,5-045.4
801E,M00.04,5-389.2x
801D,M00.04,5-781.9a
801D,M00.04,5-901.19
801D,M00.04,5-388.22
801D,M00.04,5-901.17
802C,M00.04,5-915.49
801D,M19.94,5-903.79
801D,M19.94,5-903.69
801D,M19.94,5-903.99
802C,M19.94,5-044.4
802C,M19.94,5-388.2x
801D,M19.94,5-903.59
802C,M19.94,5-388.23
802A,M19.94,5-388.24
802C,M19.94,5-399.2
801D,M19.94,5-905.19
802C,M19.94,5-901.18
801D,M19.94,5-902.49
802A,M19.94,5-916.79
801E,M19.94,5-045.4
801D,M19.94,5-903.b9
801E,M19.94,5-389.2x
801D,M19.94,5-781.9a
801D,M19.94,5-901.19
801D,M19.94,5-388.22
801D,M19.94,5-901.17
802C,M19.94,5-915.49
802C,M19.94,5-903.x9
802D,M19.94,5-907.29
801D,M19.94,5-907.59
801D,M19.94,5-909.29
801D,M24.24,5-903.79
801D,M24.24,5-903.69
801D,M24.24,5-903.99
802C,M24.24,5-044.4
802C,M24.24,5-388.2x
801D,M24.24,5-903.59
802C,M24.24,5-388.23
802A,M24.24,5-388.24
802C,M24.24,5-399.2
801D,M24.24,5-905.19
802C,M24.24,5-901.18
801D,M24.24,5-902.49
802A,M24.24,5-916.79
801E,M24.24,5-045.4
801D,M24.24,5-903.b9
801E,M24.24,5-389.2x
801D,M24.24,5-781.9a
801D,M24.24,5-901.19
801D,M24.24,5-388.22
801D,M24.24,5-901.17
802C,M24.24,5-915.49
802C,M24.24,5-903.x9
802D,M24.24,5-907.29
801D,M24.24,5-907.59
801D,M24.24,5-909.29
802C,M24.54,5-044.4
802C,M24.54,5-388.2x
802C,M24.54,5-388.23
802A,M24.54,5-388.24
802C,M24.54,5-399.2
802C,M24.54,5-901.18
801E,M24.54,5-045.4
801E,M24.54,5-389.2x
801D,M24.54,5-781.9a
801D,M24.54,5-901.19
801D,M24.54,5-388.22
801D,M24.54,5-901.17
802C,M24.54,5-915.49
802C,M25.34,5-044.4
802C,M25.34,5-388.2x
802C,M25.34,5-388.23
802A,M25.34,5-388.24
802C,M25.34,5-399.2
802C,M25.34,5-901.18
801E,M25.34,5-045.4
801E,M25.34,5-389.2x
801D,M25.34,5-781.9a
801D,M25.34,5-901.19
801D,M25.34,5-388.22
801D,M25.34,5-901.17
